QH156-20251110|Bamboo Airways-CXR-SGN|QH156|10/11/2025|18:40|10/11/2025|20:55|170|170|18|18|940000|2920000
VJ167-20251111|Vietjet Air-SGN-CXR|VJ167|11/11/2025|08:15|11/11/2025|10:00|155|155|14|14|920000|2750000
BL178-20251111|Pacific Airlines-HAN-DAD|BL178|11/11/2025|16:10|11/11/2025|18:25|150|150|20|20|1240000|3580000
VN189-20251112|Vietnam Airlines-DAD-HAN|VN189|12/11/2025|10:30|12/11/2025|12:40|180|180|12|12|1010000|2990000
QH190-20251112|Bamboo Airways-SGN-VCA|QH190|12/11/2025|13:45|12/11/2025|15:50|165|165|16|16|870000|2880000
VJ201-20251113|Vietjet Air-HAN-SGN|VJ201|13/11/2025|09:25|13/11/2025|11:35|175|175|14|14|1170000|3320000
BL212-20251113|Pacific Airlines-SGN-DAD|BL212|13/11/2025|18:00|13/11/2025|20:10|160|160|18|18|1090000|3120000
VN223-20251114|Vietnam Airlines-HAN-SGN|VN223|14/11/2025|07:10|14/11/2025|09:15|150|150|20|20|1220000|3430000
QH234-20251114|Bamboo Airways-HAN-CXR|QH234|14/11/2025|12:50|14/11/2025|15:05|180|180|12|12|1130000|3160000
VJ245-20251115|Vietjet Air-SGN-HAN|VJ245|15/11/2025|06:30|15/11/2025|08:45|160|160|16|16|870000|2790000
BL256-20251115|Pacific Airlines-SGN-HUI|BL256|15/11/2025|19:25|15/11/2025|21:40|170|170|18|18|960000|2960000
VN267-20251116|Vietnam Airlines-PQC-HAN|VN267|16/11/2025|08:00|16/11/2025|09:50|155|155|14|14|910000|2760000
QH278-20251116|Bamboo Airways-DAD-SGN|QH278|16/11/2025|15:50|16/11/2025|18:00|150|150|20|20|1270000|3620000
VJ289-20251117|Vietjet Air-SGN-DAD|VJ289|17/11/2025|11:25|17/11/2025|13:35|180|180|12|12|1030000|3080000
BL290-20251117|Pacific Airlines-HAN-SGN|BL290|17/11/2025|13:15|17/11/2025|15:25|165|165|16|16|890000|2870000
VN301-20251118|Vietnam Airlines-SGN-HAN|VN301|18/11/2025|09:10|18/11/2025|11:20|175|175|14|14|1160000|3280000
QH312-20251118|Bamboo Airways-HAN-UIH|QH312|18/11/2025|17:40|18/11/2025|19:55|160|160|18|18|1110000|3090000
